,region,province,district,sub_district,province_eng,location,location_id
336,Central,นครปฐม,สามพราน,ท่าข้าม,Nakhon Pathom,Central/นครปฐม/สามพราน/ท่าข้าม/Nakhon Pathom,336
337,Central,สมุทรสาคร,เมืองสมุทรสาคร,บางหญ้าแพรก,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/บางหญ้าแพรก/Samut Sakhon,337
338,Central,สมุทรสาคร,เมืองสมุทรสาคร,บ้านเกาะ,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/บ้านเกาะ/Samut Sakhon,338
339,Bangkok,กรุงเทพมหานคร,บางแค,บางไผ่,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางแค/บางไผ่/Bangkok Metropolis,339
340,Bangkok,กรุงเทพมหานคร,บางแค,บางแคเหนือ,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางแค/บางแคเหนือ/Bangkok Metropolis,340
341,Central,สมุทรสาคร,กระทุ่มแบน,สวนหลวง,Samut Sakhon,Central/สมุทรสาคร/กระทุ่มแบน/สวนหลวง/Samut Sakhon,341
342,Central,สมุทรสาคร,กระทุ่มแบน,ท่าเสา,Samut Sakhon,Central/สมุทรสาคร/กระทุ่มแบน/ท่าเสา/Samut Sakhon,342
343,Bangkok,กรุงเทพมหานคร,วัฒนา,คลองตันเหนือ,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/วัฒนา/คลองตันเหนือ/Bangkok Metropolis,343
344,Central,นครปฐม,สามพราน,อ้อมใหญ่,Nakhon Pathom,Central/นครปฐม/สามพราน/อ้อมใหญ่/Nakhon Pathom,344
345,Bangkok,กรุงเทพมหานคร,ดินแดง,Not Sated,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ดินแดง/Not Sated/Bangkok Metropolis,345
346,Central,สมุทรสาคร,เมืองสมุทรสาคร,ท่าฉลอม,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/ท่าฉลอม/Samut Sakhon,346
347,Central,สมุทรสาคร,กระทุ่มแบน,ดอนไก่ดี,Samut Sakhon,Central/สมุทรสาคร/กระทุ่มแบน/ดอนไก่ดี/Samut Sakhon,347
