,name_chain,chain_id
441,Kin Japanese Buffet & Ramen (คิน เจแปนนิส บุฟเฟต์ แอนด์ ราเมง),441
442,Tohkai (โตไก ),442
443,Rosetta Pad Riew,443
444,Mad Cocoa,444
445,The Nine Steak (เดอะ นายน์สเต็ก),445
446,Pearly Tea (เพิร์ลลี่ ที),446
447,ไก่ย่างห้าดาว-ไก่ย่าง,447
448,KhaoHaeng (ข้าวแห้งนายเล้ง),448
449,Ekkamai Macchiato,449
450,LINEMAN KITCHEN,450
451,ครัวเมืองเว้,451
452,Shinkanzen Sushi (ชินคันเซ็น ซูชิ),452
453,GuGu Chicken Korean Crispy Chicken,453
454,หมูทอดบ้านแขก,454
455,ข้าวหมูทอดอร่อยมาก,455
456,กู๋หว่าไจ๋  (ข้าวหมูทอดกู๋หว่าไจ๋ ),456
457,ก๋วยเตี๋ยวหมูต้มยำตำลึงนายเอก ,457
458,Krung Gastro ,458
459,เป่าซิงสุกี้,459
460,หมูทอดในตำนาน,460
461,ก่วงเฮง,461
462,คั่วไก่ดาวทอง,462
463,Heng Hoi Tod ChawLae (เฮงหอยทอดชาวเล),463
464,โจ๊กหมูทอง,464
465,Tencho,465
466,Salad Factory (สลัดแฟคทอรี่),466
467,Sweet Time (สวีท ไทม์),467
468,รสโปรด,468
469,ตำยั่ว ครกยักษ์,469
470,ขาหมู 5 รางวัลอร่อย,470
471,ครัวเจ๊ง้อ,471
472,อองตอง ข้าวซอย ,472
473,Best beef,473
474,Tim Hortons,474
475,สเต็กลุงใหญ่,475
476,SEE FAH (สีฟ้า),476
477,ราดหน้านพดล,477
478,Cafe Cococano (คาเฟ่ โคโคคาโน่),478
479,ปลาสีส้ม,479
480,Fire Chilli,480
481,โจ๊กสามย่าน,481
482,ลูกชิ้นปิ้งน้ำจิ้มบ้านปลาแดง,482
483,KINZA GYOZA (คินซ่า เกี๊ยวซ่า),483
484,มิดไนท์ไก่ตอนประตูน้ำ ,484
485,ก๋วยจั๊บนายเล็ก (อ้วน),485
486,gram Pancakes (แกรม แพนเค้ก),486
487,Vistacafé (วิสต้า คาเฟ่),487
488,Greyhound Café (เกรย์ฮาวด์ คาเฟ่),488
489,MukuTbar,489
490,ปูไข่ดอง โกลเด้น,490
491,Tenjo Sushi & Yakiniku Premium Buffet (เท็นโจ ซูชิ&ยากินิกุ พรีเมี่ยมบุฟเฟ่ต์),491
492,Ting Tai Fu (ติ่ง ไท้ ฝู),492
493,Penguin ปิ่นโต,493
494,Bar B Q Resort (บาร์บีคิว รีสอร์ท),494
495,Shibuya Shabu (ชิบูย่า ชาบู),495
496,KOFUKU Original Style (โคฟูกุ ออริจินัล สไตล์),496
497,Monster's Curry,497
498,มะม่วงกะปิหวาน สูตรเจ้เล้งดอนเมือง Zeed&Sour,498
499,Buntudthong Pochana (ลูกชิ้นปลาบรรทัดทอง),499
500,บะหมี่แพร่งภูธร,500
501,Mermaid Coffee (เมอร์เมด คอฟฟี่),501
502,ราชารส ก๋วยเตี๋ยวเรือ เนื้อ-หมู รสเด็ด,502
503,โชคดีติ่มซำ,503
504,SUSHI DEN (ซูชิ เด็น),504
505,นายอ้วนเย็นตาโฟเสาชิงช้า,505
506,Wolf tea (วูฟที),506
507,ครัวอัปษร,507
508,Dad's Shop Restaurant (ร้านของพ่อ),508
509,NANA Coffee Roaster,509
510,Shabu de bear (ชาบูเดอแบร์),510
511,Maru Waffle (มารุ วาฟเฟิล),511
512,FUKU INTOWN (ฟุคุ อินทาวน์),512
513,ต้าหลง,513
514,Bun101 Wholewheat,514
515,Hongmin (ฮองมิน),515
516,HOSHI JAPANESE RESTAURANT (โฮชิ เจแปนนิช เรสเตอรอง),516
517,Minato Sushi Bar & Restaurant ,517
518,BaoBing,518
519,Shiba Hokkaido Milk Tea (ชิบะ ฮอกไกโด มิลค์ที),519
520,โกเท้ (สมชัย),520
521,ก๋วยจั๊บญวน by ป.อุบล  1,521
522,28ml Specialty Coffee & Tea Bar,522
523,Cub House Grayhound Cafe ,523
524,จี๊ดส์ seafood (จี๊ดส์ ซีฟู๊ด),524
525,ชิฟฟ่อนเค้ก วรรณวนัช,525
526,N&B Pancake (เอ็นแอนด์บี แพนเค้ก),526
527,Mikucha (มิกุชา),527
528,ก๋วยจั๊บน้ำข้นพรานนก,528
529,บะหมี่โหน่ง ชะชะช่า,529
530,Tea&Time,530
531,ฉ่อยเป็ดย่าง,531
532,ตี๋เย็นตาโฟรสเด็ด ,532
533,วีณาไก่แซ่บ,533
534,Captain Squid,534
535,บะหมี่คนแซ่ลี,535
536,Eat Am Are (อีท แอม อา),536
537,เจ๊นิวตำซาดิสต์,537
538,ซ้งเป็ดพะโล้,538
539,ข้าวผัดปูเมืองทอง 1,539
540,ข้าวขาหมูชาญเทคนิค,540
541,นายฟู่ข้าวผัดปูเป็นปู,541
542,พระราม 9 ไก่ย่าง,542
543,Bunbun (หมูทอดบันบัน),543
544,มาลองแด๊ก,544
545,ติดลม หมูทอดปลาร้า Delivery,545
546,GoAng Kaomunkai (โกอ่างข้าวมันไก่ประตูน้ำ),546
547,สม ยง ตำซั่ว,547
548,A Ramen (เอราเมง),548
549,Hungry Nerd (ฮังกรี้เนิร์ด),549
550,GAGA,550
551,เม้งโภชนา,551
552,ก๋วยจั๊บคุณน้อย,552
553,ตำสะท้านทรวง,553
554,Café DoiTung (คาเฟ่ดอยตุง),554
555,ลาบเป็ด ป.4,555
556,ก๋วยเตี๋ยวป.ประทีป,556
557,Ocharm (โอชาม),557
558,บะหมี่กุช่าย,558
559,พิซซ่าอาหม่วย,559
560,ลาบนัวอุดร,560
561,หมูพ่นไฟ,561
562,แซ่บวัน รัชดา,562
563,ครัวสยาม,563
564,ก๋วยเตี๋ยวเรือนายเกรียง,564
565,แหนมเนืองคุณอ้อ,565
566,ศิริวรรณ หอยทอด-ผัดไทย,566
567,Gorilla Grill,567
568,Fire Tiger by Seoulcial Club,568
569,ตำตลบ,569
570,Bankara Ramen (บังคาระ ราเมง),570
571,KyoChon (เคียวโชน),571
572,KOKOPAN,572
573,เฮียอ้วน ก๋วยเตี๋ยวไก่มะระ,573
574,นัมบังด้ง,574
575,Plara cafe (ปลาร้า คาเฟ่),575
576,คุณเชิญ,576
577,คั่ว เตี๋ยว,577
578,ติ๊กเย็นตาโฟ 2 สี,578
579,ChaEn Matcha (ชาเอ็น มัทฉะ),579
580,คลังCool (คลังคูล),580
581,หม่าล่าตระกูลเฉิน,581
582,ชมพู่เมี่ยงปลาเผา,582
583,ยอ การยำ,583
584,ราดหน้าเฮง,584
585,กะเพรา company,585
586,Big Bear Steak (สเต็กหมีใหญ่ใจดี),586
587,ก๋วยเตี๋ยวโกเด้ง,587
588,คั่วกลิ้งผักสด,588
589,Donaki (โดนากิ),589
590,TRIN Coffee (ตฤณ คอฟฟี่),590
591,NOBRAND,591
592,ดีเด้อ,592
593,drop by dough,593
594,Akiyoshi (อะคิโยชิ),594
595,Tenya (เทนยะ),595
596, ATM Tea Bar,596
597,บิ๊กบะหมี่ & สเต๊ก,597
598,แสงทอง,598
599,Kyodai,599
600,ตะลิงปลิง,600
601,Tumlai (ตำหลาย),601
602,กุ้งแซ่บแซลมอนซี๊ด,602
603,Friday Tea Stand,603
604,สุดคั่ว by สุพรรณิการ์,604
605,Pizzabb,605
606,กะเพราคุณพ่อ,606
607,ก๋วยเตี๋ยวตรอกโรงหมู,607
608,PACAMARA (พาคามาร่า),608
609,More Than Milk,609
610,โจ๊กคุณแบงค์,610
611,E.Bomb Sandwich,611
