url,name,roomType,roomStyle,roomSize,monthlyRent,dailyRent,roomContract,minMonthlyRent,maxMonthlyRent,minDailyRent,maxDailyRent,apartment_url
https://www.renthub.in.th/เบญจรัตน์-อพาร์ทเม้นท์,เบญจรัตน์ อพาร์ทเม้นท์,ห้องสูท (แอร์+พัดลม),2 ห้องนอน,80.0,"6,000 - 6,500 บาท",-,,6000.0,6500.0,,,
https://www.renthub.in.th/เอี่ยมเจริญ-เรสซิเด้นท์,เอี่ยมเจริญ เรสซิเด้นท์,ห้อง SUIT,1 ห้องนอน,60.0,"6,000 - 6,500 บาท",-,,6000.0,6500.0,,,
https://www.renthub.in.th/เอี่ยมเจริญ-เรสซิเด้นท์,เอี่ยมเจริญ เรสซิเด้นท์,ห้องแอร์,สตูดิโอ,26.0,"4,000 - 4,200 บาท",-,,4000.0,4200.0,,,
https://www.renthub.in.th/เอี่ยมเจริญ-เรสซิเด้นท์,เอี่ยมเจริญ เรสซิเด้นท์,ห้อง VIP,1 ห้องนอน,40.0,"4,500 - 5,000 บาท",-,,4500.0,5000.0,,,
https://www.renthub.in.th/เอี่ยมเจริญ-เรสซิเด้นท์,เอี่ยมเจริญ เรสซิเด้นท์,รายวัน,สตูดิโอ,40.0,-,390 - 790 บาท,,,,390.0,790.0,
https://www.renthub.in.th/เอี่ยมเจริญ-เรสซิเด้นท์,เอี่ยมเจริญ เรสซิเด้นท์,ห้องพัดลม,สตูดิโอ,24.0,"3,000 - 3,400 บาท",-,,3000.0,3400.0,,,
https://www.renthub.in.th/เดอะการ์เด้นเพลส,เดอะการ์เด้นเพลส,เตียงเดี่ยว,1 ห้องนอน,25.0,"1,850 - 3,000 บาท",-,,1850.0,3000.0,,,
https://www.renthub.in.th/ใกล้บิ๊กซี-ใกล้เซ็นทรัลเฟส-อพาร์ทเม้นท์มีสระว่ายน้ำ-ห้องกว้าง-ห้องใหม่-ทันสมัยสุดๆ,ใกล้บิ๊กซี ใกล้เซ็นทรัลเฟส อพาร์ทเม้นท์มีสระว่ายน้ำ/ห้องกว้าง/ห้องใหม่/ทันสมัยสุดๆ,ห้องแอร์,สตูดิโอ,20.0,"300 - 3,500 บาท","890 - 1,180 บาท",,300.0,3500.0,890.0,1180.0,
https://www.renthub.in.th/ใกล้บิ๊กซี-ใกล้เซ็นทรัลเฟส-อพาร์ทเม้นท์มีสระว่ายน้ำ-ห้องกว้าง-ห้องใหม่-ทันสมัยสุดๆ,ใกล้บิ๊กซี ใกล้เซ็นทรัลเฟส อพาร์ทเม้นท์มีสระว่ายน้ำ/ห้องกว้าง/ห้องใหม่/ทันสมัยสุดๆ,ห้องแอร์พิเศษ,1 ห้องนอน,40.0,"4,000 - 4,500 บาท","890 - 1,180 บาท",,4000.0,4500.0,890.0,1180.0,
https://www.renthub.in.th/เปิดใหม่-สิริแมนชั่น-ใกล้มช-ใกล้ราชภัฏเชียงใหม่-เมญ่า-นิมมาน,เปิดใหม่ สิริแมนชั่น ใกล้มช.-ใกล้ราชภัฏเชียงใหม่-เมญ่า-นิมมาน,แอร์พิเศษ (แมว-หมา),1 ห้องนอน,38.0,"6,500 - 8,500 บาท",-,,6500.0,8500.0,,,
